GRS ID,Record Title,Classification (General),Legal Citation,Disposition,Retention (Years),Retention Type,Event Type (General),Longer Retention Authorized?,Deviations Allowed?,Full Disposition Instruction,Disposition Authority,Superseded by,Last Updated,Comments
GRS_1.1.001,Financial management and reporting administrative records,Financial Management,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if needed for business use.",DAA-GRS-2016-0013-0001,,23-Jun,6/2023: Corrected GRS ID.
GRS_1.1.010,"Financial transaction records related to procuring goods and services, paying bills, collecting debts, and accounting - Official record held in the office of record",Financial Management,28 U.S. Code 2401(a),Temporary,6,Event_Age,Final action ,Yes,Yes,"Destroy 6 years after final payment or cancellation, but longer retention is authorized if required for business use.",DAA-GRS-2013-0003-0001,,21-Dec,
GRS_1.1.011,"Financial transaction records related to procuring goods and services, paying bills, collecting debts, and accounting - All other copies (Copies used for administrative or reference purposes)",Financial Management,28 U.S. Code 2401(a),Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2013-0003-0002,,21-Dec,
GRS_1.1.012,Bids and proposals neither solicited nor accepted,Financial Management,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when no longer required for business use.,DAA-GRS-2016-0001-0001 ,,21-Dec,
GRS_1.1.020,"Records supporting compilation of agency financial statements and related audit, and all records of all other reports",Financial Management,,Temporary,2,Event_Age,Final action,Yes,Yes,"Destroy 2 years after completion of audit or closure of financial statement /accounting treatment/issue, but longer retention is authorized if required for business use.",DAA-GRS-2013-0003-0011,,21-Dec,
GRS_1.1.030,"Property, plant and equipment (PP&E) and other asset accounting",Financial Management,,Temporary,2,Event_Age,Final action,Yes,Yes,"Destroy 2 years after asset is disposed of and/or removed from agency’s financial statement, but longer retention is authorized if required for business use.",DAA-GRS-2013-0003-0004,,21-Dec,
GRS_1.1.040,"Cost accounting for stores, inventory, and materials",Financial Management,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2013-0003-0012,,21-Dec,
GRS_1.1.050,Construction contractors’ payroll files,Financial Management,,Temporary,3,Event_Age,Final action ,Yes,Yes,"Destroy 3 years after completion of contract or conclusion of contract being subject to an enforcement action, but longer retention is authorized if required for business use.",DAA-GRS-2013-0003-0003,,21-Dec,
GRS_1.1.060,Contract appeals case files,Financial Management,,Temporary,1,Event_Age,Final action ,Yes,Yes,"Destroy 1 year after final resolution, but longer retention is authorized if required for business use.",DAA-GRS-2016-0001-0003,,21-Dec,
GRS_1.1.070,Vendor and bidder information - Records of suspensions and debarments for violation of the Drug-Free Workplace Act,Financial Management,,Temporary,5,Event_Age,Final action ,Yes,Yes,"Destroy 5 years after removal from approved status, but longer retention is authorized if required for business use.",DAA-GRS-2016-0001-0004,,21-Dec,
GRS_1.1.071,Vendor and bidder information - Records of all other suspensions and debarments and all approved vendors and bidders,Financial Management,,Temporary,3,Event_Age,Final action ,Yes,Yes,"Destroy 3 years after removal from approved status, but longer retention is authorized if required for business use.","DAA-GRS-2016-0001-0005 
",,21-Dec,
GRS_1.1.080,Administrative claims by or against the United States,Financial Management,"31 CFR 900-904, 28 U.S.C. 2401, 28 U.S.C. 2415(a), 
31 U.S.C. 3716(c), 31 U.S.C. 3716(e)",Temporary,7,Event_Age,Final action,Yes,Yes,"Destroy 7 years after final action, but longer retention is authorized if required for business use.",DAA-GRS-2017-0005-0001,,21-Dec,
GRS_1.1.090,Government purchase card and travel credit card application and approval records,Financial Management,,Temporary,0,Event_Age,Final action,Yes,Yes,"Destroy upon card holder separation or when card is returned to office and destroyed, as appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2018-0003-0001,,21-Dec,
GRS_1.1.100,Small and Disadvantaged Business Utilization records,Financial Management,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2018-0003-0002,,21-Dec,
GRS_1.2.010,Grant and cooperative agreement program management records. ,Grants & Cooperative Agreement Management,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after final action is taken on the file, but longer retention is authorized if required for business use.",DAA-GRS-2013-0008-0007 ,,21-Dec,
